Month,Bandwidth(Mbps)
2011-01,11.78947368
2011-02,12.42105263
2011-03,13.89473684
2011-04,13.57894737
2011-05,12.73684211
2011-06,14.21052632
2011-07,15.57894737
2011-08,15.57894737
2011-09,14.31578947
2011-10,12.52631579
2011-11,10.94736842
2011-12,12.42105263
2012-01,12.10526316
2012-02,13.26315789
2012-03,14.84210526
2012-04,14.21052632
2012-05,13.15789474
2012-06,15.68421053
2012-07,17.89473684
2012-08,17.89473684
2012-09,16.63157895
2012-10,14
2012-11,12
2012-12,14.73684211
2013-01,15.26315789
2013-02,15.78947368
2013-03,18.73684211
2013-04,17.15789474
2013-05,18.10526316
2013-06,18.73684211
2013-07,60.94736842
2013-08,20.94736842
2013-09,19.36842105
2013-10,17.05263158
2013-11,15.36842105
2013-12,17.47368421
2014-01,18
2014-02,18.94736842
2014-03,20.31578947
2014-04,19.05263158
2014-05,19.26315789
2014-06,22.94736842
2014-07,24.21052632
2014-08,25.47368421
2014-09,22
2014-10,20.10526316
2014-11,18.10526316
2014-12,20.42105263
2015-01,20.63157895
2015-02,20.63157895
2015-03,24.84210526
2015-04,24.73684211
2015-05,24.10526316
2015-06,25.57894737
2015-07,27.78947368
2015-08,28.63157895
2015-09,24.94736842
2015-10,22.21052632
2015-11,18.94736842
2015-12,21.15789474
2016-01,21.47368421
2016-02,19.78947368
2016-03,24.73684211
2016-04,23.89473684
2016-05,24.63157895
2016-06,27.78947368
2016-07,31.78947368
2016-08,60.84210526
2016-09,27.26315789
2016-10,24.10526316
2016-11,21.36842105
2016-12,24.10526316
2017-01,25.47368421
2017-02,11.78947368
2017-03,12.42105263
2017-04,13.89473684
2017-05,13.57894737
2017-06,12.73684211
2017-07,14.21052632
2017-08,15.57894737
2017-09,15.57894737
2017-10,14.31578947
2017-11,12.52631579
2017-12,10.94736842
2018-01,12.42105263
2018-02,12.10526316
2018-03,13.26315789
2018-04,14.84210526
2018-05,14.21052632
2018-06,13.15789474
2018-07,15.68421053
2018-08,17.89473684
2018-09,17.89473684
2018-10,16.63157895
2018-11,14
2018-12,12
2019-01,14.73684211
2019-02,15.26315789
2019-03,15.78947368
2019-04,18.73684211
2019-05,17.15789474
2019-06,18.10526316
2019-07,18.73684211
2019-08,60.94736842
2019-09,20.94736842
2019-10,19.36842105
2019-11,17.05263158
2019-12,15.36842105
2020-01,17.47368421
2020-02,18
2020-03,18.94736842
2020-04,20.31578947
2020-05,19.05263158
2020-06,19.26315789
2020-07,22.94736842
2020-08,24.21052632
2020-09,25.47368421
2020-10,22
2020-11,20.10526316
2020-12,18.10526316
2021-01,20.42105263
2021-02,20.63157895
2021-03,20.63157895
2021-04,24.84210526
2021-05,24.73684211
2021-06,24.10526316
2021-07,25.57894737
2021-08,27.78947368
2021-09,28.63157895
2021-10,24.94736842
2021-11,22.21052632
2021-12,18.94736842
2022-01,21.15789474
2022-02,21.47368421
2022-03,19.78947368
2022-04,24.73684211
2022-05,23.89473684
2022-06,24.63157895
2022-07,27.78947368
2022-08,31.78947368
2022-09,30.84210526
2022-10,27.26315789
2022-11,24.10526316
2022-12,21.36842105
,24.10526316
,25.47368421